id_ligne	id_train	latitude	longitude	ligne
1	1	49.116627881584776	2.368253547610189	H
2	1	49.11683523352022	2.368542288383732	H
3	1	49.11716336506156	2.368999227039116	H
4	1	49.117385394692775	2.369321323384196	H
5	1	49.11756157168284	2.369605031528311	H
6	1	49.117716167102664	2.369881876928586	H
7	1	49.11785072258908	2.370145939355758	H
8	1	49.11796601288052	2.370406761983622	H
9	1	49.11814842418883	2.370887765575727	H
10	1	49.118275991284456	2.371322153303947	H
11	1	49.118358627633306	2.371642798976949	H
12	1	49.11842239059246	2.371925071673401	H
13	1	49.118471763061244	2.372211443882041	H
14	1	49.11853097454764	2.372664969762936	H
15	1	49.118558761512304	2.372954067335911	H
16	1	49.11857397255494	2.373197946231457	H
17	1	49.11860422954734	2.37419398801061	H
18	1	49.118629047025756	2.375294149138612	H
19	1	49.118633486092804	2.375464037949679	H
20	1	49.118662785260064	2.376572425439091	H
21	1	49.118669886074166	2.376840960048925	H
22	1	49.118677871543596	2.377151964906881	H
23	1	49.118683187661205	2.377378026581881	H
24	1	49.11869204924625	2.377747946564409	H
25	1	49.11870090845258	2.378121974775684	H
26	1	49.11873897685844	2.37976468962494	H
27	1	49.118743402377234	2.379953759484097	H
28	1	49.11873138358094	2.380822357903373	H
29	1	49.11871866194024	2.381164857820234	H
30	1	49.11869789108122	2.381392265572972	H
31	1	49.11865274312347	2.38186625987457	H
32	1	49.11860584841769	2.382204617159483	H
33	1	49.11855086871308	2.382519676448837	H
34	1	49.118489594912106	2.382829247198655	H
35	1	49.11843735226335	2.383041554475454	H
36	1	49.118312151197514	2.383541500184464	H
37	1	49.11816716033085	2.384052383662404	H
38	1	49.11808881729373	2.384312614122676	H
39	1	49.1178123535769	2.385242591742117	H
40	1	49.117675444609226	2.385761692517478	H
41	1	49.11760246650585	2.386083574277913	H
42	1	49.117528555524586	2.386480803077359	H
43	1	49.1174933722135	2.386738329747166	H
44	1	49.117477132139854	2.386861614939926	H
45	1	49.117430148125884	2.387369840188663	H
46	1	49.11742013507057	2.38764383177174	H
47	1	49.11740787130671	2.388926146071551	H
48	1	49.117404911686656	2.389501546110945	H
49	1	49.11741455500852	2.390042709313123	H
50	1	49.1174252019595	2.390353712575591	H
51	1	49.1174439557496	2.390634584022454	H
52	1	49.11747349885331	2.390918208160942	H
53	1	49.1175066465831	2.391184026893407	H
54	1	49.11754161864868	2.391395046772242	H
55	1	49.11755237856592	2.391460819503131	H
56	1	49.117680654229794	2.39213089826975	H
57	1	49.11788636527302	2.393126172129542	H
58	1	49.118247158290345	2.394866525621049	H
59	1	49.118586578788346	2.396476382616109	H
60	1	49.118734775197325	2.397153290509102	H
61	1	49.11882626620707	2.397669271646377	H
62	1	49.11887843596242	2.397999204548541	H
63	1	49.1189353263789	2.398401642801668	H
64	1	49.11896608042607	2.398731548854243	H
65	1	49.11898971312822	2.399028823724457	H
66	1	49.119008563123025	2.399369591416852	H
67	1	49.11902264538447	2.399724852518911	H
68	1	49.04539401902255	2.107233059674135	H
69	1	49.04535455044023	2.106582403517276	H
70	1	49.045325127047086	2.105934758426439	H
71	1	49.04531443162009	2.105610917541017	H
72	1	49.045309627046024	2.105221049327595	H
73	1	49.04531164742989	2.105110703444507	H
74	1	49.09107345127054	2.201823484236059	H
75	1	49.08986674608037	2.201233908368463	H
76	1	49.0893070951686	2.200978026879316	H
77	1	49.03398763535105	2.128263873923673	H
78	1	49.03411371486716	2.128129194074633	H
79	1	49.03514131661528	2.127001222509833	H
80	1	49.03555093381103	2.126554371205225	H
81	1	49.03590708953157	2.126148450092699	H
82	1	49.036127932597516	2.125911377526481	H
83	1	49.03646810063153	2.12554623049908	H
84	1	49.03680833380711	2.125216360117579	H
85	1	49.036899197147335	2.125137259772238	H
86	1	49.03715576846768	2.124921739789295	H
87	1	49.03741817942705	2.124701970925326	H
88	1	49.037707906102824	2.124508532850205	H
89	1	49.037857680477465	2.12440497701337	H
90	1	49.03797068199848	2.124326846051249	H
91	1	49.03838472391599	2.124059183968403	H
92	1	49.03880481008596	2.123776786101228	H
93	1	49.039211037785506	2.123509210313695	H
94	1	49.03955502818853	2.123276559854186	H
95	1	49.03980469913301	2.123100396882109	H
96	1	49.040083996360586	2.122898114370557	H
97	1	49.04057156463475	2.12250205708275	H
98	1	49.04125300442636	2.121908172963901	H
99	1	49.04162911548944	2.121542675220651	H
100	1	49.04187861387301	2.121276213118279	H
101	1	49.0421585755951	2.120950794296375	H
102	1	49.04241157674262	2.120635065769966	H
103	1	49.042659137416265	2.120296103058859	H
104	1	49.042909349117494	2.119932502105775	H
105	1	49.0431774371912	2.11951273202694	H
106	1	49.04342841055785	2.119077985287255	H
107	1	49.043671259185835	2.118628222981143	H
108	1	49.043890707143255	2.118168981940748	H
109	1	49.04407875932865	2.117752285473035	H
110	1	49.04428553764868	2.117253422064275	H
111	1	49.04447347703596	2.116779262196315	H
112	1	49.04462637908682	2.11632440698335	H
113	1	49.04476940374858	2.115877800295999	H
114	1	49.04489537705734	2.115450420487825	H
115	1	49.04500609073496	2.115038154341169	H
116	1	49.04518712540757	2.114254838940085	H
117	1	49.04527265003706	2.113839944694882	H
118	1	49.0453473304269	2.113425656976552	H
119	1	49.045412216837576	2.11300892676945	H
120	1	49.045463641625155	2.112633856150531	H
121	1	49.04552899059057	2.112022053058747	H
122	1	49.04556911523097	2.11138984248111	H
123	1	49.0455861257585	2.110894539819698	H
124	1	49.04558675004852	2.110754998510663	H
125	1	49.04558799234494	2.110445627189618	H
126	1	49.04557048320543	2.110005283062125	H
